protocol,method,seed,rmse,pearson,r2,spearman_unc_err,picp,mpiw
P0,mc,0,0.0829,0.859,0.7378,0.3157,0.8977,0.2637
P0,ens,0,0.0808,0.867,0.7513,0.3138,0.8966,0.2903
P0,mc,1,0.082,0.8625,0.7433,0.2884,0.8983,0.2539
P0,ens,1,0.0804,0.8686,0.7536,0.3334,0.8992,0.299
P0,mc,2,0.0823,0.8616,0.7419,0.3147,0.896,0.2627
P0,ens,2,0.0803,0.8688,0.7538,0.3336,0.8978,0.3018
P0,mc,3,0.083,0.8597,0.737,0.3069,0.895,0.267
P0,ens,3,0.0804,0.8683,0.7533,0.3297,0.897,0.2983
P0,mc,4,0.0821,0.8618,0.7426,0.3009,0.8983,0.2515
P0,ens,4,0.0806,0.8678,0.7522,0.3338,0.898,0.3032
