protocol,method,seed,rmse,pearson,r2,spearman_unc_err,picp,mpiw,train_s
P1,deepdtf,0,0.1012,0.7725,0.583,,0.9116,0.3267,812
P1,delfos,0,0.0958,0.7922,0.6265,,0.9124,0.3125,195
P1,deepdtf,1,0.1022,0.7697,0.5746,,0.9107,0.325,795
P1,delfos,1,0.0962,0.7901,0.6236,,0.9106,0.3111,182
P1,deepdtf,2,0.1015,0.7777,0.5807,,0.9105,0.329,1149
P1,delfos,2,0.0983,0.7792,0.6068,,0.9086,0.3141,182
P1,deepdtf,3,0.101,0.7772,0.5845,,0.9124,0.3283,728
P1,delfos,3,0.0975,0.783,0.613,,0.9102,0.3157,140
P1,deepdtf,4,0.1022,0.7663,0.575,,0.9098,0.3286,315
P1,delfos,4,0.098,0.7807,0.6093,,0.9083,0.3137,153
