protocol,method,seed,rmse,pearson,r2,spearman_unc_err,picp,mpiw,train_s
P1,bandrp,0,0.1015,0.7634,0.5804,,0.9077,0.3282,55
P1,attn,0,0.0973,0.785,0.6144,,0.9133,0.3205,24
P1,mmcl,0,0.1015,0.7625,0.5806,,0.9177,0.3466,36
P1,clclsa,0,0.1036,0.7514,0.5633,,0.9198,0.3541,44
P1,mlp,0,0.0982,0.7812,0.6078,,0.9107,0.3189,39
P1,evi,0,0.099,0.7785,0.601,0.4818,0.9046,0.2717,32
P1,evi2,0,0.0976,0.7838,0.6124,0.451,0.9028,0.2628,145
P1,bandrp,1,0.1054,0.7482,0.548,,0.904,0.3372,27
P1,attn,1,0.0988,0.7768,0.6026,,0.9039,0.3108,58
P1,mmcl,1,0.1026,0.7566,0.5713,,0.9155,0.3442,39
P1,clclsa,1,0.1032,0.7525,0.5661,,0.9203,0.3586,50
P1,mlp,1,0.0982,0.7801,0.6073,,0.908,0.3142,28
P1,evi,1,0.0985,0.7808,0.6047,0.4871,0.9013,0.2668,55
P1,evi2,1,0.0975,0.7871,0.6133,0.4497,0.9081,0.2701,126
P1,bandrp,2,0.1018,0.7631,0.5785,,0.9064,0.327,21
P1,attn,2,0.0981,0.7844,0.6081,,0.9092,0.3157,37
P1,mmcl,2,0.1011,0.7646,0.5843,,0.9203,0.3528,39
P1,clclsa,2,0.1032,0.7527,0.5662,,0.9213,0.3578,51
P1,mlp,2,0.0992,0.7748,0.5991,,0.9059,0.3137,42
P1,evi,2,0.1002,0.7732,0.5916,0.4835,0.9035,0.2725,42
P1,evi2,2,0.0963,0.7899,0.6227,0.4191,0.9094,0.2702,144
P1,bandrp,3,0.1009,0.7676,0.5859,,0.9103,0.3337,25
P1,attn,3,0.0984,0.7802,0.6055,,0.9078,0.3149,31
P1,mmcl,3,0.1026,0.7583,0.5717,,0.9194,0.3522,39
P1,clclsa,3,0.1037,0.7503,0.5626,,0.9206,0.3573,44
P1,mlp,3,0.0988,0.777,0.6028,,0.9071,0.3148,22
P1,evi,3,0.0999,0.7756,0.594,0.4977,0.9067,0.2755,46
P1,evi2,3,0.0987,0.779,0.6031,0.4371,0.9071,0.2755,96
P1,bandrp,4,0.1072,0.7403,0.5321,,0.9031,0.3396,27
P1,attn,4,0.0984,0.7794,0.6058,,0.9104,0.3193,39
P1,mmcl,4,0.1023,0.7589,0.5739,,0.9141,0.3445,39
P1,clclsa,4,0.1037,0.7512,0.5619,,0.9207,0.3587,50
P1,mlp,4,0.0985,0.779,0.6047,,0.909,0.3209,21
P1,evi,4,0.0993,0.7789,0.5986,0.4968,0.9024,0.2709,60
P1,evi2,4,0.0967,0.7881,0.619,0.4258,0.9092,0.2672,137
