method,protocol,seed,rmse,pearson,r2,spearman_unc_err,picp,mpiw
evi2,XD_CTRPv2toGDSC,0,0.1541101336479187,0.4634996138727531,-0.06139707565307617,0.17421797826755323,0.6520622535329862,0.22600479423999786
evi2,XD_CTRPv2toGDSC,1,0.1497606784105301,0.474068187052186,-0.0023308992385864258,0.2865332002112258,0.680277025415047,0.22481556236743927
evi2,XD_CTRPv2toGDSC,2,0.1502562016248703,0.4751531821147894,-0.008974671363830566,0.23533178248833328,0.6747126598088609,0.22989463806152344
evi2,XD_CTRPv2toGDSC,3,0.15203402936458588,0.4675036245858336,-0.03299236297607422,0.26809364267975017,0.6762774183588981,0.2341187745332718
evi2,XD_CTRPv2toGDSC,4,0.15340456366539001,0.478041765709867,-0.051700472831726074,0.21553667969947238,0.6498308938069243,0.22546721994876862
mlp,XD_CTRPv2toGDSC,0,0.15754206478595734,0.45673655113742456,-0.10919654369354248,,0.6191040880194226,0.22250889241695404
mlp,XD_CTRPv2toGDSC,1,0.1565282642841339,0.464315172075997,-0.09496688842773438,,0.6407721346674713,0.2205217033624649
mlp,XD_CTRPv2toGDSC,2,0.15987299382686615,0.4477994243517206,-0.14226186275482178,,0.6247877401518447,0.2192389965057373
mlp,XD_CTRPv2toGDSC,3,0.15846504271030426,0.4502488194012181,-0.1222313642501831,,0.6249771952229255,0.21868157386779785
mlp,XD_CTRPv2toGDSC,4,0.1568627506494522,0.4652263090444576,-0.09965157508850098,,0.625699931234826,0.2206687331199646
