method,protocol,seed,rmse,pearson,r2,spearman_unc_err,picp,mpiw
evi2,XD_GDSC2CTRPv2,0,0.16769391298294067,0.3088036859646589,-0.001816391944885254,-0.14160722711498983,0.7755699674304325,0.38106733560562134
evi2,XD_GDSC2CTRPv2,1,0.16740572452545166,0.3008534985240301,0.0016238093376159668,-0.11501150032376835,0.7117421861607908,0.3162676692008972
evi2,XD_GDSC2CTRPv2,2,0.1659846007823944,0.3240197378505637,0.01850259304046631,-0.0867122952717124,0.7462487857836695,0.3378753662109375
evi2,XD_GDSC2CTRPv2,3,0.16803133487701416,0.3152234544983953,-0.0058519840240478516,-0.07842940309058626,0.7497800125707103,0.34731948375701904
evi2,XD_GDSC2CTRPv2,4,0.16804523766040802,0.28533759132287734,-0.006018519401550293,-0.08652578734693117,0.7858265241986172,0.3984244763851166
mlp,XD_GDSC2CTRPv2,0,0.16876237094402313,0.2774674305509608,-0.014623165130615234,,0.6397720130278269,0.23563577234745026
mlp,XD_GDSC2CTRPv2,1,0.16764064133167267,0.29394726866115795,-0.0011800527572631836,,0.6512799268613222,0.23497675359249115
mlp,XD_GDSC2CTRPv2,2,0.1700003296136856,0.26291536224712075,-0.029563426971435547,,0.6340380549682876,0.23285359144210815
mlp,XD_GDSC2CTRPv2,3,0.16828052699565887,0.2835382968801697,-0.008837580680847168,,0.6575567110450832,0.23498210310935974
mlp,XD_GDSC2CTRPv2,4,0.16835100948810577,0.27099290005901727,-0.009682893753051758,,0.6388777784126621,0.23314295709133148
